doc_id,date,iin,region,service_type,service,amount_kzt,channel,status,days_overdue,is_flagged,flag_reason,direction
D00031,2026-04-07,990113300113,Алматы,Субсидия,Субсидия на коммунальные услуги,183017,Мобильное приложение,Назначено,0,0,,Из бюджета
D00032,2026-04-08,990010300010,Алматы,Штраф,Административный штраф,98303,Банк,Просрочено,107,0,,В бюджет
D00033,2026-04-08,990035300035,Костанайская,Пособие,Пособие по инвалидности,125137,ЦОН,На рассмотрении,0,0,,Из бюджета
D00034,2026-04-08,990054300054,Шымкент,Пошлина,Пошлина за регистрацию недвижимости,20233,Мобильное приложение,Оплачено,0,0,,В бюджет
D00035,2026-04-08,990064300064,Костанайская,Пособие,Пособие по инвалидности,62355,ЦОН,Назначено,0,0,,Из бюджета
D00036,2026-04-08,990110300110,Астана,Штраф,Административный штраф,33191,Мобильное приложение,Оплачено,0,0,,В бюджет
D00037,2026-04-08,990118300118,Алматы,Субсидия,Агросубсидия,194150,ЦОН,На рассмотрении,0,0,,Из бюджета
D00038,2026-04-08,990058300058,Туркестанская,Пособие,Пособие по уходу за ребёнком,85837,ЦОН,Назначено,0,1,Дубль выплаты: то же пособие назначено дважды,Из бюджета
D00039,2026-04-09,990070300070,Павлодарская,Пособие,Адресная социальная помощь,62357,Мобильное приложение,Назначено,0,0,,Из бюджета
D00040,2026-04-09,990101300101,Жамбылская,Пошлина,Пошлина за регистрацию недвижимости,25398,eGov,Оплачено,0,0,,В бюджет
D00041,2026-04-09,990106300106,Жамбылская,Налог,Налог на транспорт,60818,eGov,Оплачено,0,0,,В бюджет
D00042,2026-04-10,990010300010,Алматы,Налог,Налог на имущество,71768,Банк,Оплачено,0,0,,В бюджет
D00043,2026-04-10,990042300042,Алматинская,Налог,ИПН индивидуального предпринимателя,106458,ЦОН,Оплачено,0,0,,В бюджет
D00044,2026-04-10,990042300042,Алматинская,Пособие,Пособие по уходу за ребёнком,142076,Банк,Отказано,0,0,,Из бюджета
D00045,2026-04-10,990071300071,Алматинская,Штраф,Административный штраф,53703,Мобильное приложение,Ожидает оплаты,0,0,,В бюджет
D00046,2026-04-10,990072300072,Алматинская,Пособие,Пособие по инвалидности,101082,Мобильное приложение,Назначено,0,0,,Из бюджета
D00047,2026-04-11,990085300085,Мангистауская,Штраф,Штраф за превышение скорости,91405,ЦОН,Ожидает оплаты,0,0,,В бюджет
D00048,2026-04-11,990090300090,Алматинская,Субсидия,Агросубсидия,300842,Банк,Назначено,0,0,,Из бюджета
D00049,2026-04-11,990110300110,Астана,Пошлина,Пошлина за регистрацию недвижимости,27901,eGov,Просрочено,122,0,,В бюджет
D00050,2026-04-12,990002300002,Алматинская,Налог,Земельный налог,71395,eGov,Просрочено,80,0,,В бюджет
D00051,2026-04-12,990078300078,Акмолинская,Штраф,Штраф за парковку,76469,eGov,Оплачено,0,0,,В бюджет
D00052,2026-04-12,990082300082,Актюбинская,Пособие,Пособие по инвалидности,67242,Мобильное приложение,Назначено,0,0,,Из бюджета
D00053,2026-04-12,990090300090,Алматинская,Налог,Земельный налог,49631,Мобильное приложение,Оплачено,0,0,,В бюджет
D00054,2026-04-13,990038300038,Северо-Казахстанская,Субсидия,Жилищная помощь,109603,Банк,Отказано,0,0,,Из бюджета
D00055,2026-04-13,990046300046,Алматы,Субсидия,Агросубсидия,281138,Мобильное приложение,Назначено,0,0,,Из бюджета
D00056,2026-04-13,990103300103,Жамбылская,Субсидия,Жилищная помощь,148638,ЦОН,Отказано,0,0,,Из бюджета
D00057,2026-04-13,990106300106,Жамбылская,Субсидия,Агросубсидия,211267,Банк,Отказано,0,0,,Из бюджета
D00058,2026-04-13,990114300114,Алматинская,Субсидия,Агросубсидия,262595,ЦОН,На рассмотрении,0,0,,Из бюджета
D00059,2026-04-14,990027300027,Акмолинская,Налог,Земельный налог,105465,Мобильное приложение,Ожидает оплаты,0,0,,В бюджет
D00060,2026-04-14,990040300040,Карагандинская,Субсидия,Субсидия на коммунальные услуги,387816,ЦОН,Отказано,0,0,,Из бюджета
D00061,2026-04-14,990047300047,Восточно-Казахстанская,Налог,Земельный налог,15633,ЦОН,Ожидает оплаты,0,0,,В бюджет
D00062,2026-04-14,990050300050,Алматинская,Пошлина,Пошлина за регистрацию недвижимости,22746,Банк,Оплачено,0,0,,В бюджет
D00063,2026-04-14,990086300086,Алматы,Налог,Земельный налог,9357,eGov,Ожидает оплаты,0,0,,В бюджет
D00064,2026-04-14,990097300097,Акмолинская,Пошлина,Пошлина за загранпаспорт,7830,ЦОН,Просрочено,76,0,,В бюджет
D00065,2026-04-14,990108300108,Костанайская,Налог,Налог на транспорт,77897,Мобильное приложение,Оплачено,0,0,,В бюджет
D00066,2026-04-14,990109300109,Шымкент,Штраф,Административный штраф,86749,eGov,Оплачено,0,0,,В бюджет
D00067,2026-04-14,990023300023,Туркестанская,Пособие,Пособие по уходу за ребёнком,87032,ЦОН,Назначено,0,1,Дубль выплаты: то же пособие назначено дважды,Из бюджета
D00068,2026-04-15,990007300007,Атырауская,Налог,ИПН индивидуального предпринимателя,62828,ЦОН,Оплачено,0,0,,В бюджет
D00069,2026-04-15,990043300043,Актюбинская,Пошлина,Госпошлина за регистрацию авто,27118,Мобильное приложение,Просрочено,130,0,,В бюджет
D00070,2026-04-15,990046300046,Алматы,Налог,ИПН индивидуального предпринимателя,31949,ЦОН,Ожидает оплаты,0,0,,В бюджет
D00071,2026-04-15,990049300049,Туркестанская,Налог,ИПН индивидуального предпринимателя,48615,Мобильное приложение,Оплачено,0,0,,В бюджет
D00072,2026-04-15,990061300061,Астана,Субсидия,Субсидия на коммунальные услуги,198423,Банк,Назначено,0,0,,Из бюджета
D00073,2026-04-15,990066300066,Восточно-Казахстанская,Субсидия,Жилищная помощь,361433,Банк,Назначено,0,0,,Из бюджета
D00074,2026-04-16,990006300006,Акмолинская,Пособие,Адресная социальная помощь,51718,Мобильное приложение,Отказано,0,0,,Из бюджета
D00075,2026-04-16,990030300030,Шымкент,Субсидия,Субсидия на коммунальные услуги,253852,ЦОН,Назначено,0,0,,Из бюджета
D00076,2026-04-16,990048300048,Жамбылская,Пошлина,Госпошлина за регистрацию авто,15913,Банк,Оплачено,0,0,,В бюджет
D00077,2026-04-16,990060300060,Туркестанская,Субсидия,Жилищная помощь,127009,eGov,Назначено,0,0,,Из бюджета
D00078,2026-04-16,990065300065,Туркестанская,Штраф,Штраф за парковку,89450,Мобильное приложение,Ожидает оплаты,0,0,,В бюджет
D00079,2026-04-16,990007300007,Туркестанская,Пособие,Пособие по уходу за ребёнком,85575,ЦОН,Назначено,0,1,Дубль выплаты: то же пособие назначено дважды,Из бюджета
D00080,2026-04-17,990025300025,Актюбинская,Штраф,Штраф за превышение скорости,76755,eGov,Оплачено,0,0,,В бюджет
D00081,2026-04-17,990030300030,Шымкент,Пособие,Пособие по инвалидности,99736,Банк,На рассмотрении,0,0,,Из бюджета
D00082,2026-04-17,990033300033,Актюбинская,Налог,Налог на имущество,53280,Мобильное приложение,Оплачено,0,0,,В бюджет
D00083,2026-04-17,990072300072,Алматинская,Субсидия,Жилищная помощь,220650,ЦОН,На рассмотрении,0,0,,Из бюджета
D00084,2026-04-18,990020300020,Мангистауская,Пособие,Адресная социальная помощь,48826,ЦОН,Назначено,0,0,,Из бюджета
D00085,2026-04-18,990027300027,Акмолинская,Штраф,Штраф за парковку,95823,Мобильное приложение,Оплачено,0,0,,В бюджет
D00086,2026-04-18,990027300027,Акмолинская,Штраф,Штраф за превышение скорости,88288,Мобильное приложение,Оплачено,0,0,,В бюджет
D00087,2026-04-18,990034300034,Акмолинская,Пособие,Пособие по инвалидности,108527,Банк,Назначено,0,0,,Из бюджета
D00088,2026-04-18,990034300034,Акмолинская,Пособие,Адресная социальная помощь,118415,Банк,На рассмотрении,0,0,,Из бюджета
D00089,2026-04-18,990048300048,Жамбылская,Налог,ИПН индивидуального предпринимателя,20812,ЦОН,Оплачено,0,0,,В бюджет
D00090,2026-04-18,990059300059,Астана,Пособие,Пособие по инвалидности,149118,ЦОН,Назначено,0,0,,Из бюджета
D00091,2026-04-18,990095300095,Восточно-Казахстанская,Пособие,Пособие по инвалидности,50039,eGov,Отказано,0,0,,Из бюджета
D00092,2026-04-18,990110300110,Астана,Субсидия,Жилищная помощь,202036,eGov,На рассмотрении,0,0,,Из бюджета
D00093,2026-04-19,990004300004,Карагандинская,Налог,Налог на имущество,72671,eGov,Просрочено,146,0,,В бюджет
D00094,2026-04-19,990019300019,Атырауская,Налог,Налог на имущество,109467,ЦОН,Просрочено,62,0,,В бюджет
D00095,2026-04-19,990022300022,Жамбылская,Штраф,Штраф за парковку,91109,ЦОН,Оплачено,0,0,,В бюджет
D00096,2026-04-19,990028300028,Павлодарская,Пошлина,Пошлина за регистрацию недвижимости,21555,Банк,Ожидает оплаты,0,0,,В бюджет
D00097,2026-04-19,990047300047,Восточно-Казахстанская,Штраф,Административный штраф,64447,eGov,Ожидает оплаты,0,0,,В бюджет
D00098,2026-04-19,990099300099,Акмолинская,Штраф,Административный штраф,65108,Мобильное приложение,Ожидает оплаты,0,0,,В бюджет
D00099,2026-04-20,990029300029,Акмолинская,Пособие,Пособие по уходу за ребёнком,32111,Банк,Отказано,0,0,,Из бюджета
D00100,2026-04-20,990035300035,Костанайская,Пособие,Пособие по инвалидности,147503,eGov,На рассмотрении,0,0,,Из бюджета
D00101,2026-04-20,990043300043,Актюбинская,Субсидия,Агросубсидия,195297,Банк,Назначено,0,0,,Из бюджета
D00102,2026-04-20,990063300063,Северо-Казахстанская,Субсидия,Агросубсидия,79400,Мобильное приложение,Назначено,0,0,,Из бюджета
D00103,2026-04-20,990088300088,Павлодарская,Пошлина,Пошлина за регистрацию недвижимости,26761,eGov,Оплачено,0,0,,В бюджет
D00104,2026-04-20,990106300106,Жамбылская,Штраф,Административный штраф,16335,Банк,Просрочено,15,0,,В бюджет
D00105,2026-04-20,990107300107,Атырауская,Штраф,Штраф за превышение скорости,61344,ЦОН,Оплачено,0,0,,В бюджет
D00106,2026-04-21,990070300070,Павлодарская,Налог,Налог на имущество,24646,Банк,Оплачено,0,0,,В бюджет
D00107,2026-04-21,990075300075,Атырауская,Субсидия,Жилищная помощь,147062,ЦОН,Отказано,0,0,,Из бюджета
D00108,2026-04-21,990094300094,Алматы,Пособие,Пособие по уходу за ребёнком,57886,Банк,Назначено,0,0,,Из бюджета
D00109,2026-04-21,990103300103,Жамбылская,Штраф,Административный штраф,81228,Банк,Ожидает оплаты,0,0,,В бюджет
D00110,2026-04-21,990108300108,Костанайская,Штраф,Административный штраф,82751,Мобильное приложение,Оплачено,0,0,,В бюджет
D00111,2026-04-22,990004300004,Карагандинская,Штраф,Штраф за превышение скорости,15213,eGov,Оплачено,0,0,,В бюджет
D00112,2026-04-22,990016300016,Северо-Казахстанская,Субсидия,Агросубсидия,33756,ЦОН,На рассмотрении,0,0,,Из бюджета
D00113,2026-04-23,990036300036,Актюбинская,Налог,Налог на транспорт,56985,Мобильное приложение,Оплачено,0,0,,В бюджет
D00114,2026-04-23,990071300071,Алматинская,Пошлина,Пошлина за загранпаспорт,27458,eGov,Просрочено,71,0,,В бюджет
D00115,2026-04-23,990076300076,Туркестанская,Пошлина,Пошлина за регистрацию недвижимости,23288,Мобильное приложение,Оплачено,0,0,,В бюджет
D00116,2026-04-23,990081300081,Восточно-Казахстанская,Пошлина,Пошлина за загранпаспорт,14159,Мобильное приложение,Оплачено,0,0,,В бюджет
D00117,2026-04-23,990120300120,Актюбинская,Субсидия,Субсидия на коммунальные услуги,295583,Банк,На рассмотрении,0,0,,Из бюджета
D00118,2026-04-24,990001300001,Акмолинская,Субсидия,Агросубсидия,186111,eGov,Назначено,0,0,,Из бюджета
D00119,2026-04-24,990008300008,Кызылординская,Штраф,Штраф за парковку,91480,eGov,Просрочено,130,0,,В бюджет
D00120,2026-04-24,990011300011,Карагандинская,Пособие,Пособие по инвалидности,35599,Банк,Назначено,0,0,,Из бюджета
D00121,2026-04-24,990073300073,Атырауская,Пособие,Адресная социальная помощь,45439,Банк,На рассмотрении,0,0,,Из бюджета
D00122,2026-04-24,990079300079,Астана,Пошлина,Пошлина за загранпаспорт,26994,Банк,Оплачено,0,0,,В бюджет
D00123,2026-04-24,990081300081,Восточно-Казахстанская,Налог,ИПН индивидуального предпринимателя,52419,eGov,Оплачено,0,0,,В бюджет
D00124,2026-04-24,990092300092,Алматинская,Пособие,Пособие по инвалидности,87916,eGov,Назначено,0,0,,Из бюджета
D00125,2026-04-25,990064300064,Костанайская,Пособие,Пособие по инвалидности,118510,ЦОН,Отказано,0,0,,Из бюджета
D00126,2026-04-25,990070300070,Павлодарская,Субсидия,Агросубсидия,134164,ЦОН,На рассмотрении,0,0,,Из бюджета
D00127,2026-04-26,990021300021,Актюбинская,Налог,Земельный налог,105016,Мобильное приложение,Оплачено,0,0,,В бюджет
D00128,2026-04-26,990026300026,Астана,Субсидия,Субсидия на коммунальные услуги,217054,Мобильное приложение,На рассмотрении,0,0,,Из бюджета
D00129,2026-04-26,990058300058,Туркестанская,Пособие,Пособие по инвалидности,120282,eGov,На рассмотрении,0,0,,Из бюджета
D00130,2026-04-26,990066300066,Восточно-Казахстанская,Пособие,Пособие по инвалидности,149951,ЦОН,На рассмотрении,0,0,,Из бюджета
D00131,2026-04-26,990078300078,Акмолинская,Пособие,Пособие по уходу за ребёнком,122441,eGov,Назначено,0,0,,Из бюджета
D00132,2026-04-26,990088300088,Павлодарская,Субсидия,Субсидия на коммунальные услуги,278524,Банк,Назначено,0,0,,Из бюджета
D00133,2026-04-26,990088300088,Павлодарская,Пошлина,Пошлина за загранпаспорт,11678,ЦОН,Просрочено,129,0,,В бюджет
D00134,2026-04-27,990002300002,Алматинская,Штраф,Штраф за превышение скорости,29378,Банк,Оплачено,0,0,,В бюджет
D00135,2026-04-27,990015300015,Актюбинская,Пособие,Пособие по инвалидности,49791,ЦОН,Отказано,0,0,,Из бюджета
D00136,2026-04-27,990053300053,Атырауская,Субсидия,Субсидия на коммунальные услуги,399150,Мобильное приложение,Назначено,0,0,,Из бюджета
D00137,2026-04-27,990082300082,Актюбинская,Пособие,Пособие по инвалидности,97319,ЦОН,Назначено,0,0,,Из бюджета
D00138,2026-04-27,990100300100,Шымкент,Налог,ИПН индивидуального предпринимателя,65258,eGov,Оплачено,0,0,,В бюджет
D00139,2026-04-27,990107300107,Атырауская,Субсидия,Агросубсидия,199727,Мобильное приложение,На рассмотрении,0,0,,Из бюджета
D00140,2026-04-28,990022300022,Жамбылская,Пособие,Пособие по уходу за ребёнком,149922,Мобильное приложение,На рассмотрении,0,0,,Из бюджета
D00141,2026-04-28,990071300071,Алматинская,Пособие,Пособие по уходу за ребёнком,95824,eGov,Назначено,0,0,,Из бюджета
D00142,2026-04-28,990092300092,Алматинская,Субсидия,Жилищная помощь,169938,ЦОН,Назначено,0,0,,Из бюджета
D00143,2026-04-28,990107300107,Атырауская,Пошлина,Госпошлина за регистрацию авто,17415,Мобильное приложение,Просрочено,165,0,,В бюджет
D00144,2026-04-28,990110300110,Астана,Пособие,Пособие по инвалидности,131510,Банк,На рассмотрении,0,0,,Из бюджета
D00145,2026-04-28,990115300115,Алматинская,Субсидия,Субсидия на коммунальные услуги,370542,eGov,На рассмотрении,0,0,,Из бюджета
D00146,2026-04-29,990003300003,Костанайская,Налог,Земельный налог,93389,Банк,Просрочено,197,0,,В бюджет
D00147,2026-04-29,990004300004,Карагандинская,Субсидия,Агросубсидия,149938,eGov,Назначено,0,0,,Из бюджета
D00148,2026-04-29,990066300066,Восточно-Казахстанская,Налог,Налог на имущество,72460,ЦОН,Оплачено,0,0,,В бюджет
D00149,2026-04-29,990071300071,Алматинская,Пособие,Пособие по инвалидности,102882,Мобильное приложение,Назначено,0,0,,Из бюджета
D00150,2026-04-29,990106300106,Жамбылская,Пошлина,Пошлина за загранпаспорт,13179,Банк,Просрочено,77,0,,В бюджет
D00151,2026-04-29,990109300109,Шымкент,Пособие,Пособие по инвалидности,140517,eGov,На рассмотрении,0,0,,Из бюджета
D00152,2026-04-29,990041300041,Туркестанская,Пособие,Пособие по уходу за ребёнком,81101,ЦОН,Назначено,0,1,Дубль выплаты: то же пособие назначено дважды,Из бюджета
D00153,2026-04-30,990018300018,Северо-Казахстанская,Пошлина,Пошлина за загранпаспорт,28320,Мобильное приложение,Оплачено,0,0,,В бюджет
D00154,2026-04-30,990019300019,Атырауская,Налог,Налог на транспорт,41169,Банк,Ожидает оплаты,0,0,,В бюджет
D00155,2026-04-30,990020300020,Мангистауская,Штраф,Административный штраф,46719,ЦОН,Просрочено,8,0,,В бюджет
D00156,2026-04-30,990027300027,Акмолинская,Пособие,Пособие по уходу за ребёнком,68764,Банк,Назначено,0,0,,Из бюджета
D00157,2026-04-30,990043300043,Актюбинская,Субсидия,Жилищная помощь,151404,Мобильное приложение,Назначено,0,0,,Из бюджета
D00158,2026-04-30,990054300054,Шымкент,Налог,Земельный налог,42488,Мобильное приложение,Просрочено,52,0,,В бюджет
D00159,2026-04-30,990060300060,Туркестанская,Пособие,Пособие по уходу за ребёнком,55560,Мобильное приложение,Назначено,0,0,,Из бюджета
D00160,2026-04-30,990081300081,Восточно-Казахстанская,Субсидия,Агросубсидия,273152,Мобильное приложение,Отказано,0,0,,Из бюджета
D00161,2026-04-30,990082300082,Актюбинская,Пошлина,Пошлина за регистрацию недвижимости,16961,Банк,Оплачено,0,0,,В бюджет
D00162,2026-04-30,990085300085,Мангистауская,Штраф,Административный штраф,57745,eGov,Оплачено,0,0,,В бюджет
D00163,2026-04-30,990120300120,Актюбинская,Пошлина,Пошлина за регистрацию недвижимости,20584,Мобильное приложение,Оплачено,0,0,,В бюджет
D00164,2026-05-01,990017300017,Восточно-Казахстанская,Штраф,Штраф за превышение скорости,74916,Банк,Оплачено,0,0,,В бюджет
D00165,2026-05-01,990043300043,Актюбинская,Пошлина,Пошлина за регистрацию недвижимости,15822,Банк,Ожидает оплаты,0,0,,В бюджет
D00166,2026-05-01,990047300047,Восточно-Казахстанская,Штраф,Штраф за превышение скорости,29063,ЦОН,Оплачено,0,0,,В бюджет
D00167,2026-05-01,990060300060,Туркестанская,Пособие,Адресная социальная помощь,108260,ЦОН,Назначено,0,0,,Из бюджета
D00168,2026-05-01,990061300061,Астана,Штраф,Административный штраф,80301,Банк,Оплачено,0,0,,В бюджет
D00169,2026-05-01,990075300075,Атырауская,Штраф,Штраф за парковку,62701,Мобильное приложение,Оплачено,0,0,,В бюджет
D00170,2026-05-01,990097300097,Акмолинская,Штраф,Административный штраф,79831,Мобильное приложение,Ожидает оплаты,0,0,,В бюджет
D00171,2026-05-02,990037300037,Мангистауская,Субсидия,Жилищная помощь,190069,eGov,Назначено,0,0,,Из бюджета
D00172,2026-05-02,990064300064,Костанайская,Пособие,Пособие по уходу за ребёнком,138135,Банк,Назначено,0,0,,Из бюджета
D00173,2026-05-02,990077300077,Восточно-Казахстанская,Пошлина,Пошлина за регистрацию недвижимости,2125,ЦОН,Оплачено,0,0,,В бюджет
D00174,2026-05-02,990077300077,Восточно-Казахстанская,Налог,Налог на транспорт,52929,Мобильное приложение,Оплачено,0,0,,В бюджет
D00175,2026-05-03,990026300026,Астана,Налог,Земельный налог,74954,eGov,Оплачено,0,0,,В бюджет
D00176,2026-05-03,990037300037,Мангистауская,Субсидия,Субсидия на коммунальные услуги,334636,eGov,Отказано,0,0,,Из бюджета
D00177,2026-05-03,990037300037,Мангистауская,Штраф,Штраф за парковку,51925,Банк,Оплачено,0,0,,В бюджет
D00178,2026-05-03,990067300067,Кызылординская,Субсидия,Субсидия на коммунальные услуги,143525,Банк,Назначено,0,0,,Из бюджета
D00179,2026-05-03,990100300100,Шымкент,Субсидия,Субсидия на коммунальные услуги,91908,eGov,Отказано,0,0,,Из бюджета
D00180,2026-05-03,990105300105,Павлодарская,Налог,Земельный налог,79126,eGov,Оплачено,0,0,,В бюджет
D00181,2026-05-03,990120300120,Актюбинская,Субсидия,Агросубсидия,394976,Мобильное приложение,Назначено,0,0,,Из бюджета
D00182,2026-05-04,990007300007,Атырауская,Пособие,Пособие по уходу за ребёнком,92204,Банк,Назначено,0,0,,Из бюджета
D00183,2026-05-04,990025300025,Актюбинская,Пошлина,Пошлина за загранпаспорт,25965,ЦОН,Просрочено,5,0,,В бюджет
D00184,2026-05-04,990025300025,Актюбинская,Субсидия,Жилищная помощь,70673,eGov,На рассмотрении,0,0,,Из бюджета
D00185,2026-05-04,990027300027,Акмолинская,Налог,Налог на транспорт,54666,Банк,Оплачено,0,0,,В бюджет
D00186,2026-05-04,990057300057,Алматы,Пособие,Адресная социальная помощь,133381,ЦОН,Назначено,0,0,,Из бюджета
D00187,2026-05-04,990108300108,Костанайская,Пособие,Пособие по уходу за ребёнком,74816,Мобильное приложение,На рассмотрении,0,0,,Из бюджета
D00188,2026-05-05,990034300034,Акмолинская,Пошлина,Пошлина за регистрацию недвижимости,15138,ЦОН,Ожидает оплаты,0,0,,В бюджет
D00189,2026-05-05,990055300055,Мангистауская,Субсидия,Субсидия на коммунальные услуги,382182,Мобильное приложение,Назначено,0,0,,Из бюджета
D00190,2026-05-05,990057300057,Алматы,Штраф,Административный штраф,98694,eGov,Просрочено,73,0,,В бюджет
D00191,2026-05-05,990063300063,Северо-Казахстанская,Штраф,Штраф за парковку,31025,ЦОН,Ожидает оплаты,0,0,,В бюджет
D00192,2026-05-05,990072300072,Алматинская,Штраф,Административный штраф,71637,ЦОН,Ожидает оплаты,0,0,,В бюджет
D00193,2026-05-05,990089300089,Атырауская,Пошлина,Пошлина за загранпаспорт,7864,Банк,Оплачено,0,0,,В бюджет
D00194,2026-05-05,990091300091,Мангистауская,Пошлина,Госпошлина за регистрацию авто,17844,ЦОН,Оплачено,0,0,,В бюджет
D00195,2026-05-05,990088300088,Кызылординская,Субсидия,Жилищная помощь,92634,ЦОН,Отказано,0,1,Отказ по субсидии: в регионе доля отказов заметно выше средней,Из бюджета
D00196,2026-05-06,990003300003,Костанайская,Пособие,Пособие по инвалидности,82356,Банк,Отказано,0,0,,Из бюджета
D00197,2026-05-06,990012300012,Восточно-Казахстанская,Штраф,Штраф за парковку,90372,eGov,Оплачено,0,0,,В бюджет
D00198,2026-05-06,990039300039,Мангистауская,Субсидия,Агросубсидия,44894,eGov,Отказано,0,0,,Из бюджета
D00199,2026-05-06,990059300059,Астана,Налог,Налог на транспорт,41035,Банк,Оплачено,0,0,,В бюджет
D00200,2026-05-07,990034300034,Акмолинская,Субсидия,Агросубсидия,220689,ЦОН,Назначено,0,0,,Из бюджета
D00201,2026-05-07,990055300055,Мангистауская,Налог,Земельный налог,18449,Банк,Оплачено,0,0,,В бюджет
D00202,2026-05-07,990062300062,Алматы,Налог,Налог на имущество,53279,eGov,Оплачено,0,0,,В бюджет
D00203,2026-05-08,990032300032,Павлодарская,Пошлина,Пошлина за загранпаспорт,28029,Банк,Оплачено,0,0,,В бюджет
D00204,2026-05-08,990040300040,Карагандинская,Субсидия,Жилищная помощь,223966,Мобильное приложение,Отказано,0,0,,Из бюджета
D00205,2026-05-08,990048300048,Жамбылская,Пошлина,Пошлина за загранпаспорт,13297,ЦОН,Оплачено,0,0,,В бюджет
D00206,2026-05-08,990108300108,Костанайская,Субсидия,Жилищная помощь,189816,Мобильное приложение,Назначено,0,0,,Из бюджета
D00207,2026-05-09,990009300009,Павлодарская,Пособие,Пособие по инвалидности,26209,eGov,Отказано,0,0,,Из бюджета
